,P90-100,P95-100,P99-100,P99.5-100,P99.9-100,P99.99-100,P90-95,P95-99,P99-99.5,P99.5-99.9,P99.9-99.99
1913,,,17.96,14.73,8.62,2.76,,,3.23,6.11,5.86
1914,,,18.16,15.08,8.60,2.73,,,3.08,6.48,5.87
1915,,,17.58,14.58,9.22,4.36,,,3.00,5.36,4.86
1916,,,19.31,16.37,10.51,4.78,,,2.94,5.86,5.73
1917,40.51,30.64,17.74,14.34,8.40,3.37,9.87,12.90,3.39,5.94,5.04
1918,40.11,29.49,15.96,12.43,6.72,2.45,10.61,13.53,3.53,5.71,4.26
1919,40.32,30.17,16.41,12.64,6.63,2.29,10.15,13.76,3.77,6.01,4.34
1920,39.01,28.32,14.83,11.14,5.36,1.66,10.69,13.49,3.69,5.79,3.69
1921,43.18,30.80,15.64,11.70,5.60,1.69,12.38,15.17,3.94,6.10,3.91
1922,43.72,31.94,17.06,13.06,6.64,2.27,11.78,14.89,4.00,6.42,4.36
1923,41.46,29.78,15.64,11.91,5.91,2.00,11.68,14.13,3.73,6.00,3.91
1924,44.41,32.11,17.42,13.40,6.79,2.32,12.29,14.69,4.02,6.61,4.46
1925,46.35,35.01,20.24,15.86,8.52,3.31,11.34,14.77,4.38,7.34,5.21
1926,45.71,34.61,19.91,15.55,8.46,3.36,11.10,14.70,4.36,7.09,5.09
1927,46.67,35.69,21.03,16.60,9.25,3.75,10.98,14.67,4.43,7.34,5.50
1928,49.29,38.56,23.94,19.40,11.54,5.02,10.73,14.62,4.54,7.86,6.52
1929,46.71,36.48,22.35,18.07,10.91,4.99,10.23,14.13,4.29,7.15,5.92
1930,43.87,32.06,17.22,13.20,7.07,2.84,11.80,14.84,4.02,6.13,4.23
1931,44.54,31.23,15.50,11.57,5.89,2.25,13.31,15.73,3.93,5.67,3.64
1932,46.37,32.67,15.56,11.62,5.97,1.99,13.70,17.11,3.93,5.65,3.98
1933,45.60,33.19,16.46,12.46,6.61,2.34,12.42,16.73,4.00,5.86,4.26
1934,45.78,33.71,16.40,12.30,6.13,2.07,12.07,17.32,4.10,6.17,4.06
1935,44.49,32.28,16.68,12.63,6.39,2.19,12.21,15.61,4.04,6.24,4.20
1936,46.59,34.64,19.29,14.86,7.57,2.54,11.96,15.35,4.43,7.29,5.03
1937,44.23,32.27,17.15,13.02,6.49,2.17,11.96,15.12,4.13,6.53,4.32
1938,44.07,31.34,15.75,11.78,5.88,2.19,12.73,15.59,3.98,5.89,3.69
1939,45.52,32.28,16.18,12.06,5.87,1.96,13.24,16.10,4.12,6.19,3.91
1940,45.29,32.22,16.48,12.33,6.01,2.04,13.07,15.74,4.14,6.33,3.96
1941,41.93,29.99,15.79,11.86,5.81,1.98,11.94,14.21,3.92,6.06,3.83
1942,36.13,25.80,13.43,10.07,4.81,1.55,10.32,12.37,3.36,5.26,3.27
1943,33.69,24.08,12.31,9.15,4.26,1.24,9.61,11.77,3.16,4.88,3.03
1944,32.51,22.77,11.28,8.26,3.76,1.16,9.75,11.48,3.02,4.50,2.59
1945,34.42,24.79,12.52,9.14,4.16,1.26,9.63,12.28,3.38,4.98,2.90
1946,36.70,26.77,13.28,9.61,4.39,1.47,9.93,13.49,3.66,5.22,2.92
1947,34.35,24.68,11.96,8.61,3.92,1.30,9.67,12.72,3.34,4.70,2.61
1948,35.01,25.06,12.24,8.90,4.06,1.31,9.96,12.81,3.34,4.85,2.75
1949,34.75,24.51,11.73,8.48,3.83,1.24,10.25,12.78,3.25,4.64,2.59
1950,35.56,25.53,12.82,9.37,4.39,1.22,10.03,12.71,3.45,4.98,3.17
1951,34.22,24.20,11.79,8.53,3.89,1.28,10.02,12.41,3.26,4.64,2.61
1952,33.21,23.07,10.79,7.74,3.43,1.09,10.14,12.28,3.05,4.31,2.34
1953,32.31,22.01,9.90,7.02,3.06,0.97,10.29,12.11,2.88,3.97,2.09
1954,33.64,23.30,10.77,7.71,3.49,1.17,10.34,12.52,3.06,4.22,2.32
1955,33.94,23.60,11.06,7.96,3.71,1.32,10.34,12.54,3.10,4.25,2.40
1956,33.46,23.13,10.67,7.70,3.49,1.20,10.34,12.45,2.97,4.22,2.29
1957,32.99,22.60,10.16,7.23,3.18,1.05,10.38,12.44,2.93,4.05,2.13
1958,33.56,22.93,10.21,7.27,3.22,1.08,10.63,12.72,2.94,4.05,2.14
1959,34.00,23.39,10.65,7.72,3.45,1.19,10.61,12.74,2.93,4.27,2.26
1960,33.48,22.57,10.03,7.13,3.25,1.17,10.90,12.54,2.91,3.88,2.07
1961,34.25,23.50,10.64,7.66,3.65,1.38,10.75,12.86,2.98,4.01,2.27
1962,33.70,22.81,9.95,7.06,3.19,1.16,10.90,12.86,2.89,3.86,2.03
1963,33.78,22.84,9.92,7.00,3.15,1.15,10.94,12.93,2.92,3.85,2.00
1964,34.42,23.50,10.48,7.39,3.37,1.30,10.92,13.02,3.09,4.01,2.07
1965,34.78,23.88,10.89,7.73,3.66,1.49,10.90,12.98,3.17,4.07,2.17
